Tom Wilkinson: Restricted 3-Body Force problem
Initial values: x0=0.001000 y0=0.000000 vel_x0=2.210000 vel_y0=0.000000 m+=2.100000 m-=2.100000
x y t
0.129805 0.000000 0.058000
0.130926 0.000000 0.058500
0.132048 0.000000 0.059000
0.133169 0.000000 0.059500
0.134292 0.000000 0.060000
0.135414 0.000000 0.060500
0.136537 0.000000 0.061000
0.137660 0.000000 0.061500
0.138783 0.000000 0.062000
0.139907 0.000000 0.062500
0.141031 0.000000 0.063000
0.142155 0.000000 0.063500
0.143280 0.000000 0.064000
0.144405 0.000000 0.064500
0.145530 0.000000 0.065000
0.146655 0.000000 0.065500
0.147781 0.000000 0.066000
0.148907 0.000000 0.066500
0.150034 0.000000 0.067000
0.151161 0.000000 0.067500
0.152288 0.000000 0.068000
0.153415 0.000000 0.068500
0.154543 0.000000 0.069000
0.155671 0.000000 0.069500
0.156800 0.000000 0.070000
0.157929 0.000000 0.070500
0.159058 0.000000 0.071000
0.160188 0.000000 0.071500
0.161318 0.000000 0.072000
0.162448 0.000000 0.072500
0.163578 0.000000 0.073000
0.164709 0.000000 0.073500
0.165841 0.000000 0.074000
0.166973 0.000000 0.074500
0.168105 0.000000 0.075000
0.169237 0.000000 0.075500
0.170370 0.000000 0.076000
0.171503 0.000000 0.076500
0.172637 0.000000 0.077000
0.173771 0.000000 0.077500
0.174905 0.000000 0.078000
0.176040 0.000000 0.078500
0.177175 0.000000 0.079000
0.178311 0.000000 0.079500
0.179447 0.000000 0.080000
0.180583 0.000000 0.080500
0.181720 0.000000 0.081000
0.182857 0.000000 0.081500
0.183995 0.000000 0.082000
0.185133 0.000000 0.082500
0.186271 0.000000 0.083000
0.187410 0.000000 0.083500
0.188549 0.000000 0.084000
0.189689 0.000000 0.084500
0.190829 0.000000 0.085000
0.191970 0.000000 0.085500
0.193111 0.000000 0.086000
0.194252 0.000000 0.086500
0.195394 0.000000 0.087000
0.196536 0.000000 0.087500
0.197679 0.000000 0.088000
0.198822 0.000000 0.088500
0.199966 0.000000 0.089000
0.201110 0.000000 0.089500
0.202255 0.000000 0.090000
0.203400 0.000000 0.090500
0.204545 0.000000 0.091000
0.205691 0.000000 0.091500
0.206838 0.000000 0.092000
0.207985 0.000000 0.092500
0.209132 0.000000 0.093000
0.210280 0.000000 0.093500
0.211428 0.000000 0.094000
0.212577 0.000000 0.094500
0.213726 0.000000 0.095000
0.214876 0.000000 0.095500
0.216027 0.000000 0.096000
0.217177 0.000000 0.096500
0.218329 0.000000 0.097000
0.219481 0.000000 0.097500
0.220633 0.000000 0.098000
0.221786 0.000000 0.098500
0.222939 0.000000 0.099000
0.224093 0.000000 0.099500
0.225247 0.000000 0.100000
0.226402 0.000000 0.100500
0.227558 0.000000 0.101000
0.228714 0.000000 0.101500
0.229870 0.000000 0.102000
0.231027 0.000000 0.102500
0.232185 0.000000 0.103000
0.233343 0.000000 0.103500
0.234502 0.000000 0.104000
0.235661 0.000000 0.104500
0.236821 0.000000 0.105000
0.237981 0.000000 0.105500
0.239142 0.000000 0.106000
0.240304 0.000000 0.106500
0.241466 0.000000 0.107000
0.242628 0.000000 0.107500
0.243792 0.000000 0.108000
0.244955 0.000000 0.108500
0.246120 0.000000 0.109000
0.247285 0.000000 0.109500
0.248450 0.000000 0.110000
0.249616 0.000000 0.110500
0.250783 0.000000 0.111000
0.251950 0.000000 0.111500
0.253118 0.000000 0.112000
0.254287 0.000000 0.112500
0.255456 0.000000 0.113000
0.256626 0.000000 0.113500
0.257796 0.000000 0.114000
0.258967 0.000000 0.114500
0.260139 0.000000 0.115000
0.261311 0.000000 0.115500
0.262484 0.000000 0.116000
0.263658 0.000000 0.116500
0.264832 0.000000 0.117000
